identifier,title,date,year,creator,mediatype,item_url,metadata_url
cochwy-Solid_Waste_Director_Dennis_Pino_talks_about_curb-side_recycling,Solid Waste Director Dennis Pino talks about curb-side recycling,2012-10-16T00:00:00Z,2012,Cheyenne,movies,https://archive.org/details/cochwy-Solid_Waste_Director_Dennis_Pino_talks_about_curb-side_recycling,https://archive.org/metadata/cochwy-Solid_Waste_Director_Dennis_Pino_talks_about_curb-side_recycling
cochwy-Cheyenne_Fire_Rescue_Offers_These_Halloween_Safety_Tips,Cheyenne Fire & Rescue Offers These Halloween Safety Tips,2012-10-22T00:00:00Z,2012,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Fire_Rescue_Offers_These_Halloween_Safety_Tips,https://archive.org/metadata/cochwy-Cheyenne_Fire_Rescue_Offers_These_Halloween_Safety_Tips
cochwy-City_Of_Cheyenne_Fifth_Penny_Tax,City Of Cheyenne Fifth Penny Tax,2012-10-22T00:00:00Z,2012,Cheyenne,movies,https://archive.org/details/cochwy-City_Of_Cheyenne_Fifth_Penny_Tax,https://archive.org/metadata/cochwy-City_Of_Cheyenne_Fifth_Penny_Tax
cochwy-Holiday_Turkey_Fryer_Safety_Video,Holiday Turkey Fryer Safety Video,2012-11-16T00:00:00Z,2012,Cheyenne,movies,https://archive.org/details/cochwy-Holiday_Turkey_Fryer_Safety_Video,https://archive.org/metadata/cochwy-Holiday_Turkey_Fryer_Safety_Video
cochwy-AFire_Stafety_Home_Heating,AFire Stafety Home Heating,2013-10-04T00:00:00Z,2013,Cheyenne,movies,https://archive.org/details/cochwy-AFire_Stafety_Home_Heating,https://archive.org/metadata/cochwy-AFire_Stafety_Home_Heating
cochwy-Cheyenne_Wyo._Fire_Rescue_-_Microwave_Safety,Cheyenne (Wyo.) Fire & Rescue: Microwave Safety,2013-10-04T00:00:00Z,2013,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Wyo._Fire_Rescue_-_Microwave_Safety,https://archive.org/metadata/cochwy-Cheyenne_Wyo._Fire_Rescue_-_Microwave_Safety
cochwy-Cheyenne_Wyo._Fire_Rescue_-_Fire_Safety_Escape_Plan,Cheyenne (Wyo.) Fire & Rescue: Fire Safety Escape Plan,2013-10-04T00:00:00Z,2013,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Wyo._Fire_Rescue_-_Fire_Safety_Escape_Plan,https://archive.org/metadata/cochwy-Cheyenne_Wyo._Fire_Rescue_-_Fire_Safety_Escape_Plan
cochwy-Cheyenne_Wyo._Fire_Rescue_-_Kitchen_Safety,Cheyenne (Wyo.) Fire & Rescue: Kitchen Safety,2013-10-04T00:00:00Z,2013,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Wyo._Fire_Rescue_-_Kitchen_Safety,https://archive.org/metadata/cochwy-Cheyenne_Wyo._Fire_Rescue_-_Kitchen_Safety
cochwy-Fire_Safety_Smoke_Alarms,Fire Safety Smoke Alarms,2013-10-23T00:00:00Z,2013,Cheyenne,movies,https://archive.org/details/cochwy-Fire_Safety_Smoke_Alarms,https://archive.org/metadata/cochwy-Fire_Safety_Smoke_Alarms
cochwy-Cheyenne_Wyo_Fire_Rescue_Presents_Vehicle_Safety_Kit,Cheyenne (Wyo) Fire & Rescue Presents Vehicle Safety Kit,2013-11-22T00:00:00Z,2013,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Wyo_Fire_Rescue_Presents_Vehicle_Safety_Kit,https://archive.org/metadata/cochwy-Cheyenne_Wyo_Fire_Rescue_Presents_Vehicle_Safety_Kit
cochwy-Learn_How_To_Drive_Cheyenne_s_Wyo_Two_Lane_Roundabout,Learn How To Drive Cheyenne's (Wyo) Two Lane Roundabout,2013-12-31T00:00:00Z,2013,Cheyenne,movies,https://archive.org/details/cochwy-Learn_How_To_Drive_Cheyenne_s_Wyo_Two_Lane_Roundabout,https://archive.org/metadata/cochwy-Learn_How_To_Drive_Cheyenne_s_Wyo_Two_Lane_Roundabout
cochwy-How_To_Plant_A_Tree_In_Cheyenne_Wyo.,"How To Plant A Tree In Cheyenne, Wyo.",2014-06-12T00:00:00Z,2014,Cheyenne,movies,https://archive.org/details/cochwy-How_To_Plant_A_Tree_In_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-How_To_Plant_A_Tree_In_Cheyenne_Wyo.
cochwy-How_to_Plant_A_Shrub_Cheyenne_Wyo.,"How to Plant A Shrub (Cheyenne, Wyo.)",2014-06-26T00:00:00Z,2014,Cheyenne,movies,https://archive.org/details/cochwy-How_to_Plant_A_Shrub_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-How_to_Plant_A_Shrub_Cheyenne_Wyo.
cochwy-Lawn_Trimmer_Safety_2014,Lawn Trimmer Safety 2014,2014-06-26T00:00:00Z,2014,Cheyenne,movies,https://archive.org/details/cochwy-Lawn_Trimmer_Safety_2014,https://archive.org/metadata/cochwy-Lawn_Trimmer_Safety_2014
cochwy-Fourth_of_July_2014,Fourth of July 2014,2014-06-26T00:00:00Z,2014,Cheyenne,movies,https://archive.org/details/cochwy-Fourth_of_July_2014,https://archive.org/metadata/cochwy-Fourth_of_July_2014
cochwy-Mayor_Rick_Kaysen_Accepts_The_Ice_Bucket_Challenge,Mayor Rick Kaysen Accepts The Ice Bucket Challenge,2014-08-29T00:00:00Z,2014,Cheyenne,movies,https://archive.org/details/cochwy-Mayor_Rick_Kaysen_Accepts_The_Ice_Bucket_Challenge,https://archive.org/metadata/cochwy-Mayor_Rick_Kaysen_Accepts_The_Ice_Bucket_Challenge
cochwy-Bill_Gonzales_Talks_About_The_1985_Flood_In_Cheyenne_Wyo,"Bill Gonzales Talks About The 1985 Flood In Cheyenne, Wyo",2015-07-08T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Bill_Gonzales_Talks_About_The_1985_Flood_In_Cheyenne_Wyo,https://archive.org/metadata/cochwy-Bill_Gonzales_Talks_About_The_1985_Flood_In_Cheyenne_Wyo
cochwy-Tom_Coonts_Talks_About_1985_Flood_In_Cheyenne_Wyo,"Tom Coonts Talks About 1985 Flood In Cheyenne, Wyo",2015-07-09T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Tom_Coonts_Talks_About_1985_Flood_In_Cheyenne_Wyo,https://archive.org/metadata/cochwy-Tom_Coonts_Talks_About_1985_Flood_In_Cheyenne_Wyo
cochwy-Paul_Munoz_talks_about_the_1985_Flood_in_Cheyenne_Wyo.,"Paul Munoz talks about the 1985 Flood in Cheyenne, Wyo.",2015-07-09T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Paul_Munoz_talks_about_the_1985_Flood_in_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-Paul_Munoz_talks_about_the_1985_Flood_in_Cheyenne_Wyo.
cochwy-Dennis_Pino_talks_about_the_1985_Flood_in_Cheyenne_Wyo.,"Dennis Pino talks about the 1985 Flood in Cheyenne, Wyo.",2015-07-09T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Dennis_Pino_talks_about_the_1985_Flood_in_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-Dennis_Pino_talks_about_the_1985_Flood_in_Cheyenne_Wyo.
cochwy-Bill_Obermeier_Talks_About_the_1985_Flood_In_Cheyenne_Wyo.,"Bill Obermeier Talks About the 1985 Flood In Cheyenne, Wyo.",2015-07-09T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Bill_Obermeier_Talks_About_the_1985_Flood_In_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-Bill_Obermeier_Talks_About_the_1985_Flood_In_Cheyenne_Wyo.
cochwy-Bob_Bradshaw_Talks_About_the_1985_Flood_in_Cheyenne_Wyo.,"Bob Bradshaw Talks About the 1985 Flood in Cheyenne, Wyo.",2015-07-10T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Bob_Bradshaw_Talks_About_the_1985_Flood_in_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-Bob_Bradshaw_Talks_About_the_1985_Flood_in_Cheyenne_Wyo.
cochwy-Cheyenne_FIre_Chief_James_Martin_talks_about_the_1985_flood_in_Cheyenne_Wyo,"Cheyenne FIre Chief James Martin talks about the 1985 flood in Cheyenne, Wyo",2015-07-10T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_FIre_Chief_James_Martin_talks_about_the_1985_flood_in_Cheyenne_Wyo,https://archive.org/metadata/cochwy-Cheyenne_FIre_Chief_James_Martin_talks_about_the_1985_flood_in_Cheyenne_Wyo
cochwy-Gary_Stogsdill_from_the_City_of_Cheyenne_Wyo_talks_about_the_1985_Flood,Gary Stogsdill from the City of Cheyenne (Wyo) talks about the 1985 Flood,2015-07-15T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Gary_Stogsdill_from_the_City_of_Cheyenne_Wyo_talks_about_the_1985_Flood,https://archive.org/metadata/cochwy-Gary_Stogsdill_from_the_City_of_Cheyenne_Wyo_talks_about_the_1985_Flood
cochwy-Cheyenne_Fire_Rescue_-_1931_American_LaFrance_Fire_Truck,Cheyenne Fire & Rescue: 1931 American LaFrance Fire Truck,2015-07-15T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Fire_Rescue_-_1931_American_LaFrance_Fire_Truck,https://archive.org/metadata/cochwy-Cheyenne_Fire_Rescue_-_1931_American_LaFrance_Fire_Truck
cochwy-Cheyenne_Botanic_Gardens_Project_Update_Aug_4_2015,"Cheyenne Botanic Gardens Project Update Aug 4, 2015",2015-08-04T00:00:00Z,2015,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Botanic_Gardens_Project_Update_Aug_4_2015,https://archive.org/metadata/cochwy-Cheyenne_Botanic_Gardens_Project_Update_Aug_4_2015
cochwy-The_Meadow_at_the_Belvoir_Ranch_Cheyenne_Wyo.,"The Meadow at the Belvoir Ranch, Cheyenne, Wyo.",2016-05-16T00:00:00Z,2016,Cheyenne,movies,https://archive.org/details/cochwy-The_Meadow_at_the_Belvoir_Ranch_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-The_Meadow_at_the_Belvoir_Ranch_Cheyenne_Wyo.
cochwy-Northern_Edge_of_the_Belvoir_Ranch_Cheyenne_Wyo.,"Northern Edge of the Belvoir Ranch, Cheyenne, Wyo.",2016-05-16T00:00:00Z,2016,Cheyenne,movies,https://archive.org/details/cochwy-Northern_Edge_of_the_Belvoir_Ranch_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-Northern_Edge_of_the_Belvoir_Ranch_Cheyenne_Wyo.
cochwy-Lonetree_Creek_at_the_Belvoir_Ranch_Cheyenne_Wy.,"Lonetree Creek at the Belvoir Ranch, Cheyenne, Wy.",2016-05-16T00:00:00Z,2016,Cheyenne,movies,https://archive.org/details/cochwy-Lonetree_Creek_at_the_Belvoir_Ranch_Cheyenne_Wy.,https://archive.org/metadata/cochwy-Lonetree_Creek_at_the_Belvoir_Ranch_Cheyenne_Wy.
cochwy-South_Side_of_the_Belvoir_Ranch_Cheyenne_Wyo.,"South Side of the Belvoir Ranch, Cheyenne, Wyo.",2016-05-16T00:00:00Z,2016,Cheyenne,movies,https://archive.org/details/cochwy-South_Side_of_the_Belvoir_Ranch_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-South_Side_of_the_Belvoir_Ranch_Cheyenne_Wyo.
cochwy-The_West_Side_of_the_Belvoir_Ranch_Cheyenne_Wyo.,"The West Side of the Belvoir Ranch, Cheyenne, Wyo.",2016-05-16T00:00:00Z,2016,Cheyenne,movies,https://archive.org/details/cochwy-The_West_Side_of_the_Belvoir_Ranch_Cheyenne_Wyo.,https://archive.org/metadata/cochwy-The_West_Side_of_the_Belvoir_Ranch_Cheyenne_Wyo.
cochwy-City_Council_meeting_12_11_17,City Council meeting (12/11/17),2017-12-12T00:00:00Z,2017,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_meeting_12_11_17,https://archive.org/metadata/cochwy-City_Council_meeting_12_11_17
cochwy-City_Council_meeting_12_20_17,City Council meeting (12/20/17),2017-12-21T00:00:00Z,2017,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_meeting_12_20_17,https://archive.org/metadata/cochwy-City_Council_meeting_12_20_17
cochwy-Cheyenne_State_of_the_City_Address,Cheyenne State of the City Address,2018-01-09T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_State_of_the_City_Address,https://archive.org/metadata/cochwy-Cheyenne_State_of_the_City_Address
cochwy-City_Council_meeting_01_09_18,City Council meeting (01/09/18),2018-01-09T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_meeting_01_09_18,https://archive.org/metadata/cochwy-City_Council_meeting_01_09_18
cochwy-City_Council_meeting_1_22_18,City Council meeting (1/22/18),2018-01-23T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_meeting_1_22_18,https://archive.org/metadata/cochwy-City_Council_meeting_1_22_18
cochwy-Stop_Teen_Dating_Violence_Week_proclamation_signing,Stop Teen Dating Violence Week proclamation signing,2018-02-08T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Stop_Teen_Dating_Violence_Week_proclamation_signing,https://archive.org/metadata/cochwy-Stop_Teen_Dating_Violence_Week_proclamation_signing
cochwy-City_Council_Meeting_2_12_18,City Council Meeting (2/12/18),2018-02-13T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_2_12_18,https://archive.org/metadata/cochwy-City_Council_Meeting_2_12_18
cochwy-City_Engineer_Amy_Allen_Swearing-In_Ceremony,"City Engineer, Amy Allen, Swearing-In Ceremony",2018-02-13T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Engineer_Amy_Allen_Swearing-In_Ceremony,https://archive.org/metadata/cochwy-City_Engineer_Amy_Allen_Swearing-In_Ceremony
cochwy-Bloomberg_Philanthropies_Mayors_Challenge_Announcement,Bloomberg Philanthropies Mayors Challenge Announcement,2018-02-23T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Bloomberg_Philanthropies_Mayors_Challenge_Announcement,https://archive.org/metadata/cochwy-Bloomberg_Philanthropies_Mayors_Challenge_Announcement
cochwy-City_Council_Meeting_part_1_2_26_18,City Council Meeting part 1 (2/26/18),2018-02-27T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_part_1_2_26_18,https://archive.org/metadata/cochwy-City_Council_Meeting_part_1_2_26_18
cochwy-City_Council_Meeting_part_2_2_26_18,City Council Meeting part 2 (2/26/18),2018-02-27T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_part_2_2_26_18,https://archive.org/metadata/cochwy-City_Council_Meeting_part_2_2_26_18
cochwy-City_Council_Meeting_3_12_18,City Council Meeting (3/12/18),2018-03-13T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_3_12_18,https://archive.org/metadata/cochwy-City_Council_Meeting_3_12_18
cochwy-City_Council_Meeting_3_26_18,City Council Meeting (3/26/18),2018-03-27T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_3_26_18,https://archive.org/metadata/cochwy-City_Council_Meeting_3_26_18
cochwy-City_Council_Meeting_4_9_18,City Council Meeting (4/9/18),2018-04-10T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_4_9_18,https://archive.org/metadata/cochwy-City_Council_Meeting_4_9_18
cochwy-Arbor_Day_Celebration,Arbor Day Celebration,2018-04-30T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Arbor_Day_Celebration,https://archive.org/metadata/cochwy-Arbor_Day_Celebration
cochwy-City_Council_meeting_4_23_18,City Council meeting (4/23/18),2018-05-01T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_meeting_4_23_18,https://archive.org/metadata/cochwy-City_Council_meeting_4_23_18
cochwy-City_of_Cheyenne_promo_Modern_Business,City of Cheyenne promo (Modern Business),2018-05-07T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_of_Cheyenne_promo_Modern_Business,https://archive.org/metadata/cochwy-City_of_Cheyenne_promo_Modern_Business
cochwy-City_of_Cheyenne_Modern_Business,City of Cheyenne (Modern Business),2018-05-07T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_of_Cheyenne_Modern_Business,https://archive.org/metadata/cochwy-City_of_Cheyenne_Modern_Business
cochwy-2018_Street_Improvement_Press_Conference,2018 Street Improvement Press Conference,2018-05-10T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-2018_Street_Improvement_Press_Conference,https://archive.org/metadata/cochwy-2018_Street_Improvement_Press_Conference
cochwy-Cheyenne_Fire_Rescue_talks_about_ladder_safety,Cheyenne Fire Rescue talks about ladder safety,2018-05-14T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Fire_Rescue_talks_about_ladder_safety,https://archive.org/metadata/cochwy-Cheyenne_Fire_Rescue_talks_about_ladder_safety
cochwy-City_Council_Meeting_5_14_18,City Council Meeting (5/14/18),2018-05-15T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_5_14_18,https://archive.org/metadata/cochwy-City_Council_Meeting_5_14_18
cochwy-Grilling_Safety_From_Cheyenne_Fire_Rescue,Grilling Safety From Cheyenne Fire Rescue,2018-05-17T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Grilling_Safety_From_Cheyenne_Fire_Rescue,https://archive.org/metadata/cochwy-Grilling_Safety_From_Cheyenne_Fire_Rescue
cochwy-Bill_Nation_scrapbooks,Bill Nation scrapbooks,2018-05-18T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Bill_Nation_scrapbooks,https://archive.org/metadata/cochwy-Bill_Nation_scrapbooks
cochwy-May_Is_Building_Safety_Month_-_Protecting_Communities_From_Disasters,May Is Building Safety Month: Protecting Communities From Disasters,2018-05-18T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-May_Is_Building_Safety_Month_-_Protecting_Communities_From_Disasters,https://archive.org/metadata/cochwy-May_Is_Building_Safety_Month_-_Protecting_Communities_From_Disasters
cochwy-Cheyenne_Fire_Rescue_Talks_About_Lawn_Mower_Safety,Cheyenne Fire Rescue Talks About Lawn Mower Safety,2018-05-22T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Fire_Rescue_Talks_About_Lawn_Mower_Safety,https://archive.org/metadata/cochwy-Cheyenne_Fire_Rescue_Talks_About_Lawn_Mower_Safety
cochwy-Fifth_Penny_May_22,Fifth Penny May 22,2018-05-23T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Fifth_Penny_May_22,https://archive.org/metadata/cochwy-Fifth_Penny_May_22
cochwy-Civic_Center_Commons_groundbreaking_ceremony,Civic Center Commons groundbreaking ceremony,2018-05-24T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Civic_Center_Commons_groundbreaking_ceremony,https://archive.org/metadata/cochwy-Civic_Center_Commons_groundbreaking_ceremony
cochwy-City_Council_Meeting_5_29_18,City Council Meeting (5/29/18),2018-05-30T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_5_29_18,https://archive.org/metadata/cochwy-City_Council_Meeting_5_29_18
