action,source,source_id,date_iso,youtube_title,description,tags,playlist,expected_file,source_url,agenda_url,minutes_url,note
upload,granicus,24,2008-05-27,"Cheyenne City Council Meeting — May 27, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — May 27, 2008.
Duration (Granicus): 01h 25m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/24?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=24
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=24

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip24_2008-05-27_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/24?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=24,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=24,
upload,granicus,28,2008-06-09,"Cheyenne City Council Meeting — June 9, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — June 9, 2008.
Duration (Granicus): 02h 27m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/28?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=28
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=28

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip28_2008-06-09_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/28?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=28,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=28,
upload,granicus,31,2008-06-23,"Cheyenne City Council Meeting — June 23, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — June 23, 2008.
Duration (Granicus): 02h 34m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/31?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=31
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=31

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip31_2008-06-23_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/31?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=31,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=31,
upload,granicus,34,2008-07-14,"Cheyenne City Council Meeting — July 14, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — July 14, 2008.
Duration (Granicus): 02h 26m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/34?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=34
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=34

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip34_2008-07-14_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/34?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=34,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=34,
upload,granicus,36,2008-07-28,"Cheyenne City Council Meeting — July 28, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — July 28, 2008.
Duration (Granicus): 01h 13m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/36?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=36
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=36

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip36_2008-07-28_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/36?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=36,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=36,
upload,granicus,39,2008-08-11,"Cheyenne City Council Meeting — August 11, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — August 11, 2008.
Duration (Granicus): 04h 28m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/39?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=39
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=39

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip39_2008-08-11_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/39?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=39,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=39,
upload,granicus,41,2008-08-25,"Cheyenne City Council Meeting — August 25, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — August 25, 2008.
Duration (Granicus): 06h 14m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/41?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=41
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=41

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip41_2008-08-25_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/41?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=41,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=41,
upload,granicus,43,2008-09-08,"Cheyenne City Council Meeting — September 8, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — September 8, 2008.
Duration (Granicus): 04h 23m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/43?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=43
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=43

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip43_2008-09-08_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/43?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=43,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=43,
upload,granicus,45,2008-09-22,"Cheyenne City Council Meeting — September 22, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — September 22, 2008.
Duration (Granicus): 03h 24m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/45?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=45
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=45

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip45_2008-09-22_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/45?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=45,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=45,
upload,granicus,48,2008-10-13,"Cheyenne City Council Meeting — October 13, 2008","Cheyenne City Council — City of Cheyenne, Wyoming — October 13, 2008.
Duration (Granicus): 05h 39m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/48?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=48
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=48

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip48_2008-10-13_Cheyenne_City_Council.mp4,https://cheyenne.granicus.com/player/clip/48?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=48,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=48,
